id,"code","name"
group_2448,"2448","Regalias e impuestos a la pequeña y mediana mineria"
group_2452,"2452","A las exportaciones cafeteras"
group_2456,"2456","A las importaciones"
group_2460,"2460","Cuotas de fomento"
group_2464,"2464","De licores, cervezas y cigarrillos"
group_2468,"2468","Al sacrificio de ganado"
group_2472,"2472","Al azar y juegos"
group_2495,"2495","Otros"
group_25,"25","Obligaciones laborales"
group_2505,"2505","Salarios por pagar"
group_2510,"2510","Cesantias consolidadas"
group_2515,"2515","Intereses sobre cesantias"
group_2520,"2520","Prima de servicios"
group_2525,"2525","Vacaciones consolidadas"
group_2530,"2530","Prestaciones extralegales"
group_2532,"2532","Pensiones por pagar"
group_2535,"2535","Cuotas partes pensiones de jubilacion"
group_2540,"2540","Indemnizaciones laborales"
group_26,"26","Pasivos estimados y provisiones"
group_2605,"2605","Para costos y gastos"
group_2610,"2610","Para obligaciones laborales"
group_2615,"2615","Para obligaciones fiscales"
group_2620,"2620","Pensiones de jubilacion"
group_2625,"2625","Para obras de urbanismo"
group_2630,"2630","Para mantenimiento y reparaciones"
group_2635,"2635","Para contingencias"
group_2640,"2640","Para obligaciones de garantias"
group_2695,"2695","Provisiones diversas"
group_27,"27","Diferidos"
group_2705,"2705","Ingresos recibidos por anticipado"
group_2710,"2710","Abonos diferidos"
group_2715,"2715","Utilidad diferida en ventas a plazos"
group_2720,"2720","Credito por correccion monetaria diferida"
group_2725,"2725","Impuestos diferidos"
group_28,"28","Otros pasivos"
group_2805,"2805","Anticipos y avances recibidos"
group_2810,"2810","Depositos recibidos"
group_2815,"2815","Ingresos recibidos para terceros"
group_2820,"2820","Cuentas de operacion conjunta"
group_2825,"2825","Retenciones a terceros sobre contratos"
group_2830,"2830","Embargos judiciales"
group_2835,"2835","Acreedores del sistema"
group_2840,"2840","Cuentas en participacion"
group_2895,"2895","Diversos"
group_29,"29","Bonos y papeles comerciales"
group_2905,"2905","Bonos en circulacion"
group_2910,"2910","Bonos obligatoriamente convertibles en acciones"
group_2915,"2915","Papeles comerciales"
group_3,"3","Patrimonio"
group_31,"31","Capital social"
group_3105,"3105","Capital suscrito y pagado"
group_3110,"3110","Acciones, cuotas o partes de interes social propias readquiridas (db)"
group_3115,"3115","Aportes sociales"
group_3120,"3120","Capital asignado"
group_3125,"3125","Inversion suplementaria al capital asignado"
group_3130,"3130","Capital de personas naturales"
group_3135,"3135","Aportes del estado"
group_3140,"3140","Fondo social"
group_32,"32","Superavit de capital"
group_3205,"3205","Prima en colocacion de acciones, cuotas o partes de interes"
group_3210,"3210","Donaciones"
group_3215,"3215","Credito mercantil"
group_33,"33","Reservas"
group_3305,"3305","Reservas obligatorias"
group_3310,"3310","Reservas estatutarias"
group_3315,"3315","Reservas ocasionales"
group_34,"34","Revalorizacion del patrimonio"
group_3405,"3405","Ajustes por inflacion"
group_3410,"3410","Saneamiento fiscal"
group_3415,"3415","Ajustes por inflacion decreto 3019 de 1989"
group_35,"35","Dividendos o participaciones decretados en acciones, cuotas o partes de interes social"
group_3505,"3505","Dividendos decretados en acciones"
group_3510,"3510","Participaciones decretadas en cuotas o partes de interes social"
group_36,"36","Resultados del ejercicio"
group_3605,"3605","Utilidad del ejercicio"
group_3610,"3610","Perdida del ejercicio"
group_37,"37","Resultados de ejercicios anteriores"
group_3705,"3705","Utilidades o excedentes acumulados"
group_3710,"3710","Perdidas acumuladas"
group_38,"38","Superavit por valorizaciones"
group_3805,"3805","De inversiones"
group_3810,"3810","De propiedades planta y equipo"
group_3895,"3895","De otros activos"
group_4,"4","Ingresos"
group_41,"41","Operacionales"
group_4105,"4105","Agricultura, ganaderia, caza y silvicultura"
group_4110,"4110","Pesca"
group_4115,"4115","Explotacion de minas y canteras"
group_4120,"4120","Industrias manufactureras"
group_4125,"4125","Suministro de electricidad, gas y agua"
group_4130,"4130","Construccion"
group_4135,"4135","Comercio al por mayor y al por menor"
group_4140,"4140","Hoteles y restaurantes"
group_4145,"4145","Transporte, almacenamiento y comunicaciones"
group_4150,"4150","Actividad financiera"
group_4155,"4155","Actividades inmobiliarias, empresariales y de alquiler"
group_4160,"4160","Enseñanza"
group_4165,"4165","Servicios sociales y de salud"
group_4170,"4170","Otras actividades de servicios comunitarios, sociales y personales"
group_4175,"4175","Devoluciones, rebajas y descuentos en ventas (db)"
group_42,"42","No operacionales"
group_4205,"4205","Otras ventas"
group_4210,"4210","Financieros"
group_4215,"4215","Dividendos y participaciones"
group_4220,"4220","Arrendamientos"
group_4225,"4225","Comisiones"
group_4230,"4230","Honorarios"
group_4235,"4235","Servicios"
group_4240,"4240","Utilidad en venta de inversiones"
group_4245,"4245","Utilidad en venta de propiedades planta y equipo"
group_4248,"4248","Utilidad en venta de otros bienes"
group_4250,"4250","Recuperaciones"
group_4255,"4255","Indemnizaciones"
group_4260,"4260","Participaciones en concesiones"
group_4265,"4265","Ingresos de ejercicios anteriores"
group_4275,"4275","Devoluciones, rebajas y descuentos en otras ventas (db)"
group_4295,"4295","Diversos"
group_47,"47","Ajustes por inflacion"
group_4705,"4705","Correccion monetaria"
group_5,"5","Gastos"
group_51,"51","Operacionales de administracion"
group_5105,"5105","Gastos de personal"
group_5110,"5110","Honorarios"
group_5115,"5115","Impuestos"
group_5120,"5120","Arrendamientos"
group_5125,"5125","Contribuciones y afiliaciones"
group_5130,"5130","Seguros"
group_5135,"5135","Servicios"
group_5140,"5140","Gastos legales"
group_5145,"5145","Mantenimiento y reparaciones"
group_5150,"5150","Adecuacion e instalacion"
group_5155,"5155","Gastos de viaje"
group_5160,"5160","Depreciaciones"
group_5165,"5165","Amortizaciones"
group_5195,"5195","Diversos"
group_5199,"5199","Provisiones"
group_52,"52","Operacionales de ventas"
group_5205,"5205","Gastos de personal"
group_5210,"5210","Honorarios"
group_5215,"5215","Impuestos"
group_5220,"5220","Arrendamientos"
group_5225,"5225","Contribuciones y afiliaciones"
group_5230,"5230","Seguros"
group_5235,"5235","Servicios"
group_5240,"5240","Gastos legales"
group_5245,"5245","Mantenimiento y reparaciones"
group_5250,"5250","Adecuacion e instalacion"
group_5255,"5255","Gastos de viaje"
group_5260,"5260","Depreciaciones"
group_5265,"5265","Amortizaciones"
group_5270,"5270","Financieros - reajuste del sistema"
group_5295,"5295","Diversos"
group_5299,"5299","Provisiones"
group_53,"53","No operacionales"
group_5305,"5305","Financieros"
group_5310,"5310","Perdida en venta y retiro de bienes"
group_5315,"5315","Gastos extraordinarios"
group_5395,"5395","Gastos diversos"
group_54,"54","Impuesto de renta y complementarios"
group_5405,"5405","Impuesto de renta y complementarios"
group_59,"59","Ganancias y perdidas"
group_5905,"5905","Ganancias y perdidas"
group_6,"6","Costos de ventas"
group_61,"61","Costo de ventas y de prestacion de servicios"
group_6105,"6105","Agricultura, ganaderia, caza y silvicultura"
group_6110,"6110","Pesca"
group_6115,"6115","Explotacion de minas y canteras"
group_6120,"6120","Industrias manufactureras"
group_6125,"6125","Suministro de electricidad, gas y agua"
group_6130,"6130","Construccion"
group_6135,"6135","Comercio al por mayor y al por menor"
group_6140,"6140","Hoteles y restaurantes"
group_6145,"6145","Transporte, almacenamiento y comunicaciones"
group_6150,"6150","Actividad financiera"
group_6155,"6155","Actividades inmobiliarias, empresariales y de alquiler"
group_6160,"6160","Enseñanza"
group_6165,"6165","Servicios sociales y de salud"
group_6170,"6170","Otras actividades de servicios comunitarios, sociales y personales"
group_62,"62","Compras"
group_6205,"6205","De mercancias"
group_6210,"6210","De materias primas"
group_6215,"6215","De materiales indirectos"
group_6220,"6220","Compra de energia"
group_6225,"6225","Devoluciones rebajas y descuentos en compras (cr)"
group_7,"7","Costos de produccion o de operacion"
group_71,"71","Materia prima"
group_72,"72","Mano de obra directa"
group_73,"73","Costos indirectos"
group_74,"74","Contratos de servicios"
group_8,"8","Cuentas de orden deudoras"
group_81,"81","Derechos contingentes"
group_8105,"8105","Bienes y valores entregados en custodia"
group_8110,"8110","Bienes y valores entregados en garantia"
group_8115,"8115","Bienes y valores en poder de terceros"
group_8120,"8120","Litigios y/o demandas"
group_8125,"8125","Promesas de compraventa"
group_8195,"8195","Diversas"
group_82,"82","Deudoras fiscales"
group_83,"83","Deudoras de control"
group_8305,"8305","Bienes recibidos en arrendamiento financiero"
group_8310,"8310","Titulos de inversion no colocados"
group_8315,"8315","Propiedades planta y equipo totalmente depreciados, agotados y/o amortizados"
group_8320,"8320","Creditos a favor no utilizados"
group_8325,"8325","Activos castigados"
group_8330,"8330","Titulos de inversion amortizados"
group_8335,"8335","Capitalizacion por revalorizacion de patrimonio"
group_8395,"8395","Otras cuentas deudoras de control"
group_8399,"8399","Ajustes por inflacion activos"
group_84,"84","Derechos contingentes por contra (cr)"
group_85,"85","Deudoras fiscales por contra (cr)"
group_86,"86","Deudoras de control por contra (cr)"
group_9,"9","Cuentas de orden acreedoras"
group_91,"91","Responsabilidades contingentes"
group_9105,"9105","Bienes y valores recibidos en custodia"
group_9110,"9110","Bienes y valores recibidos en garantia"
group_9115,"9115","Bienes y valores recibidos de terceros"
group_9120,"9120","Litigios y/o demandas"
group_9125,"9125","Promesas de compraventa"
group_9130,"9130","Contratos de administracion delegada"
group_9135,"9135","Cuentas en participacion"
group_9195,"9195","Otras responsabilidades contingentes"
group_92,"92","Acreedoras fiscales"
group_93,"93","Acreedoras de control"
group_9305,"9305","Contratos de arrendamiento financiero"
group_9395,"9395","Otras cuentas de orden acreedoras de control"
group_9399,"9399","Ajustes por inflacion patrimonio"
group_94,"94","Responsabilidades contingentes por contra (db)"
group_95,"95","Acreedoras fiscales por contra (db)"
group_96,"96","Acreedoras de control por contra (db)"
