"id","code","name"
classification_1812,"1812","Actividades de servicios relacionados con la impresión"
classification_1820,"1820","Producción de copias a partir de grabaciones originales"
classification_1910,"1910","Fabricación de productos de hornos de coque"
classification_1921,"1921","Fabricación de productos de la refinación del petróleo"
classification_1922,"1922","Actividad de mezcla de combustibles"
classification_2011,"2011","Fabricación de sustancias y productos químicos básicos"
classification_2012,"2012","Fabricación de abonos y compuestos inorgánicos nitrogenados"
classification_2013,"2013","Fabricación de plásticos en formas primarias"
classification_2014,"2014","Fabricación de caucho sintético en formas primarias"
classification_2021,"2021","Fabricación de plaguicidas y otros productos químicos de uso agropecuario"
classification_2022,"2022","Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas"
classification_2023,"2023","Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador"
classification_2029,"2029","Fabricación de otros productos químicos n.c.p."
classification_2030,"2030","Fabricación de fibras sintéticas y artificiales"
classification_2100,"2100","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
classification_2211,"2211","Fabricación de llantas y neumáticos de caucho"
classification_2212,"2212","Reencauche de llantas usadas"
classification_2219,"2219","Fabricación de formas básicas de caucho y otros productos de caucho n.c.p."
classification_2221,"2221","Fabricación de formas básicas de plástico"
classification_2229,"2229","Fabricación de artículos de plástico n.c.p."
classification_2310,"2310","Fabricación de vidrio y productos de vidrio"
classification_2391,"2391","Fabricación de productos refractarios"
classification_2392,"2392","Fabricación de materiales de arcilla para la construcción"
classification_2393,"2393","Fabricación de otros productos de cerámica y porcelana"
classification_2394,"2394","Fabricación de cemento, cal y yeso"
classification_2395,"2395","Fabricación de artículos de hormigón, cemento y yeso"
classification_2396,"2396","Corte, tallado y acabado de la piedra"
classification_2399,"2399","Fabricación de otros productos minerales no metálicos n.c.p."
classification_2410,"2410","Industrias básicas de hierro y de acero"
classification_2421,"2421","Industrias básicas de metales preciosos"
classification_2429,"2429","Industrias básicas de otros metales no ferrosos"
classification_2431,"2431","Fundición de hierro y de acero"
classification_2432,"2432","Fundición de metales no ferrosos"
classification_2511,"2511","Fabricación de productos metálicos para uso estructural"
classification_2512,"2512","Fabricación de tanques, depósitos y recipientes de metal, excepto los utilizados para el envase o transporte de mercancías"
classification_2513,"2513","Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central"
classification_2520,"2520","Fabricación de armas y municiones"
classification_2591,"2591","Forja, prensado, estampado y laminado de metal; pulvimetalurgia"
classification_2592,"2592","Tratamiento y revestimiento de metales; mecanizado"
classification_2593,"2593","Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería"
classification_2599,"2599","Fabricación de otros productos elaborados de metal n.c.p."
